text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"In honor of John Lewis, C.T. Vivian, and all the essential workers who have selflessly risked their lives, the Sena… https://t.co/cPsfbssdQg",FALSE,43392,NA,2020-07-21T01:15:00Z,TRUE,NA,1285382736341942274,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,8195,FALSE,FALSE,NA,NA
"Folks, it may be hard to believe, but we have just over 100 days until Election Day. I know we can beat Donald Trum… https://t.co/D4ALouwIDT",FALSE,16936,NA,2020-07-21T00:20:00Z,TRUE,NA,1285368895155474432,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,3959,FALSE,FALSE,NA,NA
"Small manufacturers like McGregor Industries demonstrate the resilience, creativity, and staying-power of America’s… https://t.co/pyl00ReFj5",FALSE,7504,NA,2020-07-20T23:05:00Z,TRUE,NA,1285350020942901255,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,2002,FALSE,FALSE,NA,NA
"Today, I am putting the Kremlin and other foreign governments on notice: If elected president, I will direct my adm… https://t.co/HR7vmNhWms",FALSE,89672,NA,2020-07-20T21:55:00Z,TRUE,NA,1285332404647784449,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,23020,FALSE,FALSE,NA,NA
We're paying the price for this president's incompetence every single day. https://t.co/PUqyt83The,FALSE,48258,NA,2020-07-20T21:10:00Z,FALSE,NA,1285321080039669763,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,10503,FALSE,FALSE,NA,NA
"President Trump asked to see the COVID death chart. @RealDonaldTrump, here you go. https://t.co/45tYD2NXti",FALSE,67418,NA,2020-07-20T19:17:00Z,FALSE,NA,1285292642859773952,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,23892,FALSE,FALSE,NA,NA
Every day it becomes clearer: We are in a battle for the soul of this nation. Who we are. What we believe. Who we w… https://t.co/oz72AmJ7uH,FALSE,119469,NA,2020-07-20T18:15:00Z,TRUE,NA,1285277040153776128,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,21887,FALSE,FALSE,NA,NA
"Imagine the future we can create with Donald Trump out of the White House. A future where we:

- Tackle the climate… https://t.co/KJeYyVwBXP",FALSE,112781,NA,2020-07-20T15:00:01Z,TRUE,NA,1285227969930072066,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,21196,FALSE,FALSE,NA,NA
"In this moment of crisis, we have the chance to build a new American economy. One where everyone gets a fair return… https://t.co/73aH6TILVu",FALSE,72353,NA,2020-07-20T00:15:00Z,TRUE,NA,1285005248768217089,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,12694,FALSE,FALSE,NA,NA
Every day is National Ice Cream Day in my book. https://t.co/R6WR0LNspS,FALSE,123444,NA,2020-07-19T22:30:00Z,FALSE,NA,1284978824749309952,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,11231,FALSE,FALSE,NA,NA
"Mr. President, your ignorance isn’t a virtue or a sign of your strength — it’s undercutting our response to this un… https://t.co/AaHev8aDjz",FALSE,66721,NA,2020-07-19T19:30:00Z,TRUE,NA,1284933527088365569,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,16504,FALSE,FALSE,NA,NA
"The hard truth is that it didn’t have to be this bad, but Donald Trump ignored the experts and refused to take acti… https://t.co/Uvh99eOkbI",FALSE,121779,NA,2020-07-19T18:07:00Z,TRUE,NA,1284912638577655808,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,40891,FALSE,FALSE,NA,NA
"Now more than ever, we need a president who will choose hope over fear.",FALSE,165669,NA,2020-07-19T16:11:00Z,FALSE,NA,1284883446251294722,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,22714,FALSE,FALSE,NA,NA
"Banning the Confederate flag from military installations was long overdue. 

Banning the LGBTQ Pride flag — the ver… https://t.co/ChOPpjAKvW",FALSE,29500,NA,2020-07-19T14:48:00Z,TRUE,NA,1284862558910865408,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,5958,FALSE,FALSE,NA,NA
"I know of no man with more courage than John Lewis. He was a giant walking among us. When I saw him, I couldn’t hel… https://t.co/OshqnhBOkJ",FALSE,154259,NA,2020-07-18T14:58:00Z,TRUE,NA,1284502687430479874,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,34794,FALSE,FALSE,NA,NA
"We are made in the image of God, and then there is John Lewis. He was truly one-of-a-kind, a moral compass who alwa… https://t.co/nJ9m2S1kdR",FALSE,171177,NA,2020-07-18T14:15:58Z,TRUE,NA,1284492109496619009,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,27248,FALSE,FALSE,NA,NA
"As President, I will see to it that America once again stands for human rights. That doesn't mean rights only for s… https://t.co/INGJxMeIHZ",FALSE,36702,NA,2020-07-18T00:00:00Z,TRUE,NA,1284276699337646080,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,8253,FALSE,FALSE,NA,NA
"Today, we lost a giant of the civil rights movement and a relentless champion in the struggle for justice. Reverend… https://t.co/izEWMbkyEX",FALSE,20973,NA,2020-07-17T22:50:00Z,TRUE,NA,1284259082254217216,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,4158,FALSE,FALSE,NA,NA
"Eleven. That's how many times we've broken the single-day record for new COVID-19 cases in the last month.

This vi… https://t.co/h2J3szw3IE",FALSE,105212,NA,2020-07-17T21:50:00Z,TRUE,NA,1284243982747414529,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,22122,FALSE,FALSE,NA,NA
"I’ve released 21 years of my tax returns — why hasn’t Donald Trump?

We deserve to know what this president is hiding.",FALSE,231976,NA,2020-07-17T19:40:00Z,FALSE,NA,1284211267108868097,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,41090,FALSE,FALSE,NA,NA
Everyone wants our schools to reopen. The question is how to make it safe and how to make it stick. Forcing educato… https://t.co/5EfrR7c00s,FALSE,48152,NA,2020-07-17T18:16:00Z,TRUE,NA,1284190127896629248,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,12798,FALSE,FALSE,NA,NA
"We have to make the places we live, work, and learn healthier and more energy-efficient. That's why my administrati… https://t.co/OA817ydQEc",FALSE,15409,NA,2020-07-17T17:15:00Z,TRUE,NA,1284174776861372417,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,3873,FALSE,FALSE,NA,NA
