,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,scores,compound,comp_score
0,"In honor of John Lewis, C.T. Vivian, and all the essential workers who have selflessly risked their lives, the Sena… https://t.co/cPsfbssdQg",False,43392,,2020-07-21T01:15:00Z,True,,1285382736341942274,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,8195,False,False,,,"{'neg': 0.079, 'neu': 0.788, 'pos': 0.133, 'compound': 0.3182}",0.3182,pos
1,"Folks, it may be hard to believe, but we have just over 100 days until Election Day. I know we can beat Donald Trum… https://t.co/D4ALouwIDT",False,16936,,2020-07-21T00:20:00Z,True,,1285368895155474432,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,3959,False,False,,,"{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.0516}",-0.0516,neg
2,"Small manufacturers like McGregor Industries demonstrate the resilience, creativity, and staying-power of America’s… https://t.co/pyl00ReFj5",False,7504,,2020-07-20T23:05:00Z,True,,1285350020942901255,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,2002,False,False,,,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.6249}",0.6249,pos
3,"Today, I am putting the Kremlin and other foreign governments on notice: If elected president, I will direct my adm… https://t.co/HR7vmNhWms",False,89672,,2020-07-20T21:55:00Z,True,,1285332404647784449,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,23020,False,False,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
4,We're paying the price for this president's incompetence every single day. https://t.co/PUqyt83The,False,48258,,2020-07-20T21:10:00Z,False,,1285321080039669763,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,10503,False,False,,,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5106}",-0.5106,neg
5,"President Trump asked to see the COVID death chart. @RealDonaldTrump, here you go. https://t.co/45tYD2NXti",False,67418,,2020-07-20T19:17:00Z,False,,1285292642859773952,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,23892,False,False,,,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5994}",-0.5994,neg
6,Every day it becomes clearer: We are in a battle for the soul of this nation. Who we are. What we believe. Who we w… https://t.co/oz72AmJ7uH,False,119469,,2020-07-20T18:15:00Z,True,,1285277040153776128,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,21887,False,False,,,"{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.3818}",-0.3818,neg
7,"Imagine the future we can create with Donald Trump out of the White House. A future where we:

- Tackle the climate… https://t.co/KJeYyVwBXP",False,112781,,2020-07-20T15:00:01Z,True,,1285227969930072066,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,21196,False,False,,,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2732}",0.2732,pos
8,"In this moment of crisis, we have the chance to build a new American economy. One where everyone gets a fair return… https://t.co/73aH6TILVu",False,72353,,2020-07-20T00:15:00Z,True,,1285005248768217089,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,12694,False,False,,,"{'neg': 0.155, 'neu': 0.682, 'pos': 0.163, 'compound': -0.2023}",-0.2023,neg
9,Every day is National Ice Cream Day in my book. https://t.co/R6WR0LNspS,False,123444,,2020-07-19T22:30:00Z,False,,1284978824749309952,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,11231,False,False,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
